,Amp_rub,Ani_lac,Atl_lat,Aul_pra,Cat_ino,Chl_rie,Con_alb,Cya_tur,Dig_alb,Dig_cya,Hem_sup,Pen_bar,Tan_vas,Thl_orn,Thr_cya,Tur_fus
All_300,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ast_300,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Bra_300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hie_mac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ind_300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ind_302,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ind_303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lam_300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mer_300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mic_300,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Mic_302,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
Mic_303,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mic_304,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Mic_305,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mor_pub,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Myr_300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oco_300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ore_301,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Pal_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rub_300,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,1
Sch_300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Sch_acu,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0
Tou_300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
