,Cac_uro,Cat_ust,Chl_cal,Chl_can,Chl_fla,Chl_spi,Coe_fla,Col_sub,Dac_cay,Dac_lin,Dix_pip,Eub_bou,Eup_xan,Iri_pul,Lep_isi,Lep_sup,Mac_reg,Mya_ral,Myi_cep,Pip_ery,Pip_fro,Pla_leu,Psa_ang,Pyr_alb,Rup_per,Sal_max,Tan_art,Tan_art ,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_nig,Tan_niv,Tan_pun,Tan_sch,Tan_xag,Tan_xan,Thr_pal,Tur_alb,Tur_flu,Tur_nig
Alc_100,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,4,3,0,0,0,0,0,0
Cec_101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
Ind_102,0,0,3,0,0,0,0,0,2,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,1,29,0,0,0,25,20,3,0,0,0,0,0
Ind_103,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0
Ind_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_101,1,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,6,0,0,0,0,0,0,0
Mic_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,3,0,0,0,0,0
Mic_108,2,70,8,1,81,1,0,0,0,13,32,0,39,3,10,0,12,2,0,5,9,0,30,0,5,9,29,1,75,6,72,60,0,9,47,62,0,1,5,22,7,1
Mic_111,0,0,3,0,42,1,0,0,2,0,0,0,2,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,18,0,3,5,2,0,9,10,0,0,0,1,0,0
Mic_112,0,0,6,13,51,0,2,0,0,9,3,0,0,0,5,2,0,0,0,7,0,0,0,0,0,0,3,0,37,0,20,0,0,0,26,16,2,0,5,1,0,0
Mic_116,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mol_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myr_cor,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Pip_102,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sch_100,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
