,Ani_ign,Ani_lac,Atl_tri,But_mon,Cat_ino,Chl_rie,Dig_cya,Dig_hum,Dub_tae,Iri_ruf,Myi_mel,Pip_arc,Tan_vas
D2CA1spp8,1,1,0,0,0,0,0,0,0,0,0,0,0
epifita,0,0,0,4,0,0,0,0,0,0,0,0,0
epifita2,0,3,0,0,0,0,0,0,0,0,0,0,0
Eri_300,2,4,0,0,0,0,3,0,0,0,0,1,0
Eri_301,0,0,0,1,0,3,0,0,0,0,0,0,0
Eri_302,0,0,0,0,1,0,0,0,0,0,0,0,0
Gau_ere,0,0,0,0,1,0,0,0,0,0,0,0,0
Gor_300,0,0,0,0,1,0,0,0,0,0,0,0,0
Gra_300,0,0,0,0,1,0,0,0,0,0,0,0,0
Gra_har,0,2,0,0,0,0,0,0,0,0,0,0,0
Gue_hir,0,2,0,0,0,0,0,0,0,0,0,0,0
Mic_305,2,3,0,0,0,0,0,0,0,0,0,1,0
Mic_306,5,9,0,0,0,1,4,1,2,0,0,0,10
Mic_307,0,0,0,0,0,0,0,0,0,0,0,0,1
Mic_rad,0,0,0,0,0,0,0,0,0,2,1,0,0
Net_dep,0,0,1,0,0,0,0,0,0,0,0,0,0
Pal_302,0,0,0,0,0,0,0,0,0,0,0,1,0
Sch_300,0,1,0,6,0,1,0,0,0,0,0,0,0
Sch_302,0,1,0,0,0,0,0,0,0,0,0,0,0
Sym_sul,0,0,0,0,1,0,0,0,0,0,0,0,0
