,Ana_par,Ani_lac,Ani_som,Aul_pra,Cat_ust,Chl_oph,Col_fas,Cre_ver,Cyc_guj,Dig_alb,Dig_cae,Ela_alb,Ela_pal,Mio_oli,Pip_mel,Tan_cya,Tan_niv,Tan_vir,Tan_xan,Thr_cya,Thr_epi,Tur_fus,Zon_cap
All_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Cec_ang,0,0,1,1,0,0,0,1,0,16,0,0,0,0,0,0,1,1,1,17,8,6,0
Hie_fen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
Ind_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ing_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ise_lae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lor_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mic_204,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mic_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mon_200,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Myr_cor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rub_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Sip_asp,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,2,0,0,0,2,0,0,23
Tur_occ,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vib_obt,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
